coverage;latitude;longitude;timeline;blue;red;evi;nir;ndvi
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2018-05-25T00:00:00;97.0;199.0;4320.0;2427.0;8484.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2018-06-10T00:00:00;122.0;311.0;4379.0;2703.0;7936.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2018-06-26T00:00:00;146.0;250.0;4239.0;2426.0;8131.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2018-07-12T00:00:00;165.0;414.0;3781.0;2492.0;7150.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2018-07-28T00:00:00;155.0;315.0;4231.0;2565.0;7812.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2018-08-13T00:00:00;160.0;319.0;4733.0;2896.0;8015.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2018-08-29T00:00:00;221.0;453.0;4067.0;2690.0;7117.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2018-09-14T00:00:00;176.0;338.0;3531.0;2155.0;7288.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2018-09-30T00:00:00;207.0;560.0;5164.0;3780.0;7419.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2018-10-16T00:00:00;223.0;369.0;6354.0;4087.0;8343.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2018-11-01T00:00:00;279.0;843.0;4819.0;3916.0;6457.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2018-11-17T00:00:00;217.0;418.0;5879.0;3892.0;8060.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2018-12-03T00:00:00;96.0;294.0;4424.0;2732.0;8056.0
MOD13Q1-1;-11.936461490397864;-55.899424451160975;2018-12-19T00:00:00;259.0;219.0;5671.0;3033.0;8653.0
